Tarih/Bölge,Başakşehir,Esenyurt,Kağıthane,Kandilli,Mecidiyeköy,Silivri
3/1/2013 0:00,43.75,101.88,,40.15,,
3/1/2013 1:00,43.8,157.1,,62.1,128,74.1
3/1/2013 2:00,45.5,144.1,,40.15,115.5,64.4
3/1/2013 3:00,37.9,147.5,,40.15,85.6,66.4
3/1/2013 4:00,33.8,112.5,,40.15,109.7,58
3/1/2013 5:00,48.4,73.1,,40.15,129.8,39.4
3/1/2013 6:00,42.4,59.3,,40.15,67.2,40.4
3/1/2013 7:00,35.3,62.3,,40.15,57.9,48.9
3/1/2013 8:00,36.5,72.5,,40.15,66.3,39.9
3/1/2013 9:00,34.3,115.4,,40.15,83.1,50
3/1/2013 10:00,52.4,172,,40.15,92.9,79.2
3/1/2013 11:00,51.8,128.4,,40.15,111.6,69.8
3/1/2013 12:00,51.2,80.2,,40.15,130.2,56.6
3/1/2013 13:00,52,59.9,,40.15,108,32.7
3/1/2013 14:00,97.4,50.1,,40.15,128.4,34.3
3/1/2013 15:00,86.5,50.9,,40.15,121.6,34.4
3/1/2013 16:00,58,59.4,,40.15,102.5,39.3
3/1/2013 17:00,75.7,47.5,,40.15,123.3,47.9
3/1/2013 18:00,90.4,52.1,,40.15,119.8,49.8
3/1/2013 19:00,109.9,63.2,,53.2,112.2,50.7
3/1/2013 20:00,143.4,98.9,,55.6,119.1,44.2
3/1/2013 21:00,254.9,204.1,,79.5,90.3,63.3
3/1/2013 22:00,239.6,308.8,,105.7,111.8,124.8
3/1/2013 23:00,200.1,224.1,,100.2,118.2,225.9
3/2/2013 0:00,124.4,176.8,,164.1,127.6,149.7
3/2/2013 1:00,260.5,185.9,,151.8,97.1,177.7
3/2/2013 2:00,101.9,407.8,,112.1,92.2,110.2
3/2/2013 3:00,81.8,466,,40.15,89.2,167.4
3/2/2013 4:00,78.9,279.6,,132.8,75.8,132.5
3/2/2013 5:00,60,268.6,,134.1,66.2,98.6
3/2/2013 6:00,56.8,81.3,,96.8,63.3,68.8
3/2/2013 7:00,61,114.3,,84.2,65.8,58.1
3/2/2013 8:00,56,143.2,,90.7,81.5,81.2
3/2/2013 9:00,52.3,168.7,,92.7,73.4,86.3
3/2/2013 10:00,70.6,137.5,,97.2,84.7,141.5
3/2/2013 11:00,76.2,76.4,,68.2,86,186.4
3/2/2013 12:00,65.9,66.1,,59.8,109,118.2
3/2/2013 13:00,77.8,52.1,,64.7,130.4,51.5
3/2/2013 14:00,66,49.8,,54.9,112.7,50.6
3/2/2013 15:00,56.1,61.1,,55.4,106.7,45.4
3/2/2013 16:00,58.9,91.9,,55.8,112.6,31.8
3/2/2013 17:00,59.6,142.3,,56.6,150.1,34.6
3/2/2013 18:00,62.5,129.8,,44.1,229.2,31.9
3/2/2013 19:00,79.2,231.8,,44.4,260.4,36.6
3/2/2013 20:00,71.9,233.7,,37.9,197.4,74.7
3/2/2013 21:00,95.5,265.2,,43.6,102.5,59.2
3/2/2013 22:00,85.4,230.8,,54.9,100.3,53.5
3/2/2013 23:00,68.9,178.4,,47.6,83.8,48.9
3/3/2013 0:00,63.1,141.9,,46.7,94.8,44.7
3/3/2013 1:00,64.2,137.5,,47.3,102.9,42.5
3/3/2013 2:00,68.2,108.6,,44.6,98.4,45.2
3/3/2013 3:00,52.4,82.9,,51.2,86.8,41
3/3/2013 4:00,43.3,65.8,,45.2,75.5,34
